title,label
How long would it take me to finish my medical diploma courses?,0
How long is the MDes Industrial Design course?,0
How do I get into MDes Industrial Design?,0
How do I raise a complaint on PhonePe?,1
How can I complain against Paytm?,1
How to apply for DMCE Navi Mumbai courses?,0
How are the DMCE Navi Mumbai admissions done?,0
How were the DMCE Navi Mumbai placements in 2023?,0
How can I talk to a Paytm executive?,1
How many PG (2 years programmes) students opted for higher studies from MDU Rohtak in 2023?,0
How many UG (5 years courses) students were placed from MDU Rohtak in 2023?,0
How can I become a vet after 12th?,0
How does the admission process work at MVRS?,0
How are MVRS cutoffs determined?,0
How can I obtain the application form for MVRS?,0
How do I apply for management quota seats at MVRS?,0
How do I register for campus placements at MVRS?,0
How are the selected candidates communicated to MVRS?,0
How many attempts for CAT are allowed?,0
"how to apply for councelling  , what are the steps to apply",0
How do I raise a complaint on Phonepe?,1
How do I raise a complaint on Phonepe? 8114583571,1
How many marks are required to get into this college,0
How does NPRCET support student placements?,0
How is the infrastructure at NPRCET designed to support students?,0
How are cutoffs determined for NPRCET?,0
How is the seat allotment done for B.Tech at NPRCET?,0
How can students register for placements at NPRCET?,0
How do you take percentages out of 200 in the CUET exam?,0
how can i participate in councelling procees for admission asa ballb,0
How do I get a seat at the Government Polytechnic Jehanabad?,0
How many courses are there at Government Polytechnic Jehanabad?,0
How to apply for Government Polytechnic Jehanabad?,0
How much mark is needed to get admission to Government Polytechnic Jehanabad?,0
how do we know the upcoming jobs in the Indian market and what is the current demand in the job market,0
how many courses of BE/Btech are there in IIT Kanpur?,0
How many courses of BE/Btech in IIT Delhi?,0
How to get a job in USA after MBA?,0
How can I get admission in MBA in Ranchi without any entrance exam?,0
How can students check the BHU passing marks?,0
How do I get a seat at the Government Polytechnic Siwan?,0
How many courses are there at Government Polytechnic Siwan?,0
How do I get a seat at the Government Polytechnic Siwan?,0
How to apply for Government Polytechnic Siwan?,0
How many courses are there at Government Polytechnic Siwan?,0
How much mark is needed to get admission to Government Polytechnic Siwan?,0
How to apply for Government Polytechnic Siwan?,0
How much mark is needed to get admission to Government Polytechnic Siwan?,0
How good is the faculty of the International Institute of Management Science Chinchwad?,0
How many students appeared for the CUET UG 2024?,0
How to check CUET result 2024?CUET UG Result 2024: How to Raise Grievances; What Next,0
How can I apply for admission to NPSBCET?,0
How can I check the cutoff marks for NPSBCET?,0
How can I obtain the application form for NPSBCET?,0
How do I apply for M.Tech programmes at NPSBCET?,0
How is the MCA admission process conducted at NPSBCET?,0
How does NPSBCET prepare students for placements?,0
How do students register for NPSBCET campus placements?,0
How the DU CUET cutoff is calculated?,0
How do I complain to the CityMall app?,1
How much ragging culture? And education and hostel quality?,0
How can I talk to a Paytm executive?,1
How many seats left for council,0
How many courses are offered by the Dayanand College of Commerce?,0
How to contact Kuku FM? 896_l22O_256,1
How could I download the certificate?,0
How many courses are offered by Dayanand Arya Kanya Mahavidyalaya Nagpur?,0
How to contact Kuku FM? 896_l22O_256,1
How to contact Kuku FM? Toll-free (8961220256) any time available problem solve 24/7 hours Freddy X7 Dr so I,1
How can I complain on meesho?..7980093769,1
How to contact Kuku FM? 896_I22O_256,1
How do I raise a complaint in Urban Company 8597233288,1
How to contact Kuku FM? 896_l2 2O_256,1
How do I raise a complaint on Rapido?0825-230-1600,1
How do I raise a complaint in Urban Company 8597233288.,1
How to contact Kuku FM?How to contact Kuku FM? Toll-free (8961220256) any time available problem solve 24/7 hours Freddy X7 Dr so I,1
How do I raise a complaint'in Urban Company 8597233288,1
How do I raise a complaint'in Urban Company- 8597233288,1
How do I complain on Ixigo 8597233288,1
How to contact Kuku FM? 896~I22O_256,1
How to contact Kuku FM? 8961220256,1
How to contact Kuku FM? 8961+220-256,1
"How do I complain to Flipkart?If you"""" complaint flipkrCustomer Service, you can call O7OO3-644-893. However, if you want to reach out to ixigo's support team for any other reason, you can visit their website and scroll to the bottom of the page. From there, select ""Customer Service"" and choose the",1
How can I talk to a Paytm executive directly? 8895-583~114kk,1
How can I talk to a Paytm executive directly? 918895-583~114pp,1
"How do I talk to ixigo?If you want to reach out to ixigo's support team for any reason, you can visit their website and scroll to the bottom of the page. From there, select ""Customer Service""7003-644-893 and choose the option that addresses your question.",1
How do I get a refund from Kuku FM?,1
How do I get a refund from Kuku FM?-,1
"How do I complain to Gpay?If you want to reach out to ixigo's support team for any reason, you can visit their website and scroll to the bottom of the page. From there, select ""Customer Service""7003-644-893 and choose the option that addresses your question.",1
How do I get a refund from Kuku FM,1
"How do I complain to Gpay?If you want to reach out to ixigo's support team for any reason, you can visit their website and scroll to the bottom of the page. From there, select ""Customer Service""7003-644-893 and choose the option that addresses your question.",1
How do I get a refund from Kuku FM? 896-1220-256,1
How do I stop auto payment on Kuku FM?.,1
How do I stop auto payment on Kuku FM? 896*I22O_256,1
How do I talk to ixigo?7003-644-893,1
"How can I complain to Agoda?
Online Chat Support: 07584 996 019 The quickest way to reach Agoda to file your complaints online is through chat support, available on their website and mobile app. Email: If you prefer email,",1
"How can I complain to Agoda?
Online Chat Support: 07584 996 019 The quickest way to reach Agoda to file your complaints online is through chat support, available on their website and mobile app. Email: If you prefer email",1
"How do I raise a complaint on PhonePe?
Online Chat Support: 07584 996 019 The quickest way to reach Agoda to file your complaints online is through chat support, available on their website and mobile app. Email: If you prefer.",1
How do I get a refund from Kuku FM?,1
"How can I get in touch with Myntra executive?
Toll Free: Online complain, 24/7),08252-301600.. ( myntra complaint customer service /credit card/ report Transaction), 8252-301-600 (Report online shopping.. 3824 ( myntra complaint customer service /credit card/ report Transaction), 1800-258-6161 (Report online shopping..",1
How do I stop auto payment on Kuku FM?,1
how can I prepare for gate within 6 months,0
How do I complain on Swiggy ?9341 304155,1
How do I
